time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.715833139544547e-08,-6.736142608046604e-08,10.004550514867521,6.282868752958972,6.283103967418654,0.0,6.202929123142422e-06,-1.6386073430840857e-05,0.15167502266063182,-0.018761448809912207,-0.004215287777840185,0.0,453.36104538875486,453.02231968829744,453.56061294904686,452.051670775392
0.12000000000000001,2.9614694998734446e-06,-1.2156726744951826e-05,10.0176064530646,6.281970863124025,6.283076690526741,0.0,0.00010459824027632988,-0.00049358806412936,0.2834985987691817,-0.00828630351579815,0.006168699597832287,0.0,446.2032282066151,447.0500090166613,446.78747145705387,447.64064367384634
0.18,1.0179928948309714e-05,-7.193804031144926e-05,10.039972601108545,6.281219022023183,0.00023695779027210762,0.0,9.533654510031575e-05,-0.0015680280038607934,0.4619837921844912,-0.022766545137265254,0.004928468922180648,0.0,461.6251921156232,461.5272323751037,461.47518032161554,460.33105507481457
0.23999999999999996,7.2891806521331105e-06,-0.00021963562675566972,10.075102072522268,6.280934384069358,0.0013035246638501974,0.0,-0.0002856618178169724,-0.0034402463757835728,0.7088778172134926,0.017673281396063546,0.035620589237472744,0.0,479.97042983257177,482.2937357283006,480.36953823983254,483.42593929076855
0.3,-4.457356856633055e-05,-0.0004676553753180569,10.120239524053254,6.281591169498013,0.003721638852208997,0.0,-0.0016722175825579287,-0.004735567748563307,0.7956467681380993,-0.008000170719608754,0.0483186219375402,0.0,432.222588108049,433.29215079712213,434.7458226520655,432.58956473416606
0.36000000000000004,-0.00022598545365755583,-0.0007837966173623921,10.16928923751213,6.280861560719792,0.006104216063077317,0.0,-0.004633105800256834,-0.005857505430081379,0.8393110401586278,-0.022147834845161755,0.010711770223865836,0.0,420.3475847570854,417.0771036831967,420.51187848304454,419.2848027594183
0.4200000000000001,-0.0006649703812375349,-0.0012016596435188963,10.227816602859926,6.279481313817321,0.006964223692683014,0.0,-0.01009517035592012,-0.008243277787521238,1.1113757972288403,-0.024773961495718314,0.020738816992305266,0.0,487.5591023374638,488.3074510513459,490.55839538557007,490.3633881690472
0.48000000000000015,-0.001421934389973867,-0.0017794138637578785,10.297748031935535,6.2780381084730905,0.008838088098912955,0.0,-0.01530285575078165,-0.011165903337334162,1.2195604243657066,-0.02265010780244552,0.0466274665847327,0.0,439.7373206848596,441.87675128858706,440.59316660929744,440.76862650776343
0.5400000000000001,-0.0025418888548603617,-0.0025646514329236217,10.374724349201706,6.277144251922124,0.01233931882993744,0.0,-0.022368425177114102,-0.015123731892014415,1.346171931665715,-0.0027075043490727277,0.07506144807252414,0.0,445.46016788336607,447.7812113209607,446.0902582479765,447.7156574051185
0.6000000000000002,-0.004185635395428901,-0.003610853220126559,10.460683936075885,6.2768890795972005,0.017328218818271957,0.0,-0.032959539619916156,-0.0197716526719523,1.51892623353015,-0.00753825726632297,0.09574742028688109,0.0,460.62329944468195,462.2613212494646,461.1649642825602,460.78334921552096
0.6600000000000003,-0.006545789282551085,-0.004929622357808003,10.554950540312086,6.2766121918789874,0.023260795186132555,0.0,-0.04630945706342305,-0.02422318772828428,1.6231393334692061,0.0006708217946019925,0.1044921335928636,0.0,440.5561837378526,441.2870234298089,439.8537983679427,440.53313710320344
0.7200000000000003,-0.009834142395062792,-0.006520128137094856,10.655550927665342,6.276514773472689,0.02952536608251588,0.0,-0.06394410580338883,-0.028795039746034347,1.7300339694072242,-0.006660881292481576,0.10424390328650728,0.0,442.0105240544338,441.9996435465127,441.78913436352707,441.1842818823445
0.7800000000000004,-0.014219039174836034,-0.008368221467739266,10.759549968890811,6.276180321129955,0.03601060170682757,0.0,-0.08278128158965237,-0.03284018814629691,1.736571664534215,-0.0034848361856702273,0.11483333767994888,0.0,409.49114879139665,410.44328345631436,408.5300243357321,408.81319411553346
0.8400000000000004,-0.01998374319490278,-0.010488596102659824,10.86747470705938,6.276518288685491,0.042793356210421685,0.0,-0.11009024923557417,-0.03782600624076427,1.8606962987782698,0.019475610219252912,0.1092110609672297,0.0,448.3154121348343,447.8696284397289,446.15972925762185,448.0302370835153
0.9000000000000005,-0.027800114342256297,-0.012935382284985985,10.988938464529163,6.2777542660676104,0.04878006374633692,0.0,-0.15130383560348887,-0.04356662722181751,2.1874882594831755,0.022757703147550806,0.06359678274258208,0.0,509.17266537180956,505.9055440482147,506.7158182732934,506.9516156656138
0.9600000000000005,-0.03793564299050291,-0.015659834655987904,11.123875371747475,6.279251974429336,0.05261069107779015,0.0,-0.18693820599833383,-0.04709603580617769,2.310145665083745,0.029040525469763014,0.06433305031281977,0.0,449.22688269549184,449.2895058456655,448.31931141892903,448.82958318714395
1.0200000000000005,-0.050203036229147284,-0.018556801665699216,11.26450727122546,6.280716057354741,0.05684132511893569,0.0,-0.22236309223195744,-0.04931119904460523,2.3774214633173956,0.012973009798376183,0.08064302891467931,0.0,431.5971378923015,432.97534044851443,432.2994370525515,430.9435581785754
1.0800000000000005,-0.06463594108896055,-0.021559496012659246,11.408364522243494,6.281366125788336,0.06176727638947721,0.0,-0.25918432054137974,-0.05071150604486908,2.4177038083854785,0.006171978459160411,0.08486141039366153,0.0,423.4113168665321,423.7798909251518,423.73515198197634,423.1499901887655
1.1400000000000006,-0.08142114565018628,-0.024636696089435466,11.555410376509531,6.281681724805093,0.067134189998999,0.0,-0.30082254060687863,-0.05182823768289051,2.4836441992514997,0.0033705094740914174,0.09732293801224182,0.0,431.50064198531163,432.55818539506976,432.39211881210474,432.15595975885157
